away_team,awaypoints,home_team,homepoints
Athens Team Sasquatch,120.22,Georgia Peanuts,133.72
Middle Earth Hangry Hobbits,93.86,Jumpin' Jaheims,99.32
The G.O.A.T.,105.84,Southern Sharks,89.24
First Timers The FTs,79.02,Captain Clairvoyant,164.1
KC Gophers,128.78,Pigskin on  the Gridiron,92.24
