fullname,points
Captain Clairvoyant,48.400000000000006
The G.O.A.T.,50.62
Middle Earth Hangry Hobbits,80.99000000000001
KC Gophers,82.45
Jumpin' Jaheims,96.78
Georgia Peanuts,60.22
Pigskin on  the Gridiron,69.65
Athens Team Sasquatch,32.21
Southern Sharks,49.300000000000004
First Timers The FTs,33.3
