add_date,name,points,slot,bench,rowid,abbrev,teamId,location,nickname,fullname,division,stay
2020-11-18,Rams D/ST,7,16,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish,6
2020-11-18,Damien Harris,11.9,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish,6
2020-11-19,Myles Gaskin,0,21,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish,5
2020-11-19,Taysom Hill,24.42,6,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish,5
2020-11-19,Jerry Jeudy,5.2,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish,5
2020-11-19,Malcolm Brown,3.3,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish,5
2020-11-22,Vikings D/ST,3,16,0,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish,2
2020-11-22,DJ Chark Jr.,6.1000000000000005,20,1,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish,2
2020-11-18,Salvon Ahmed,9.9,23,1,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish,6
2020-11-18,Michael Pittman Jr.,15.100000000000001,20,1,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish,6
2020-11-18,Jameis Winston,0,20,1,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish,6
2020-11-18,Chargers D/ST,11,16,0,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish,6
2020-11-19,James Conner,11.4,2,0,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish,5
2020-11-21,Ryan Succop,6,17,0,5,GOAt,5,The,G.O.A.T.,The G.O.A.T.,Grits,3
2020-11-21,Dallas Goedert,16.2,6,0,5,GOAt,5,The,G.O.A.T.,The G.O.A.T.,Grits,3
2020-11-21,La'Mical Perine,9.3,2,0,5,GOAt,5,The,G.O.A.T.,The G.O.A.T.,Grits,3
2020-11-21,Jamaal Williams,8.1,20,1,6,HOWE,6,KC,Gophers,KC Gophers,Hot Dish,3
2020-11-18,Kalen Ballage,10.600000000000001,23,1,8,SASQ,8,Athens,Team Sasquatch,Athens Team Sasquatch,Grits,6
2020-11-18,Rex Burkhead,2.2,20,1,8,SASQ,8,Athens,Team Sasquatch,Athens Team Sasquatch,Grits,6
2020-11-18,Jakeem Grant,2.8000000000000003,20,1,8,SASQ,8,Athens,Team Sasquatch,Athens Team Sasquatch,Grits,6
2020-11-19,Latavius Murray,9.5,20,1,8,SASQ,8,Athens,Team Sasquatch,Athens Team Sasquatch,Grits,5
2020-11-20,Giovani Bernard,7.5,2,0,8,SASQ,8,Athens,Team Sasquatch,Athens Team Sasquatch,Grits,4
2020-11-20,Noah Fant,7.5,20,1,9,PG,10,Pigskin on,the Gridiron,Pigskin on  the Gridiron,Grits,4
2020-11-18,Browns D/ST,20,16,0,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits,6
2020-11-18,Mike Gesicki,6.3,6,0,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits,6
2020-11-22,Kirk Cousins,22.96,0,0,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits,2
