fullname,points
Captain Clairvoyant,60.7
The G.O.A.T.,31.85
Middle Earth Hangry Hobbits,18.6
KC Gophers,71.68
Jumpin' Jaheims,40.900000000000006
Georgia Peanuts,61.260000000000005
Pigskin on  the Gridiron,49.739999999999995
Athens Team Sasquatch,79.5
Southern Sharks,56.2
First Timers The FTs,30.520000000000003
