fullname,week,points_scored,result
Georgia Peanuts,8,183.82,W
Captain Clairvoyant,12,175.34,W
First Timers The FTs,2,171.28,W
Georgia Peanuts,7,163.68,W
Georgia Peanuts,9,152.14,W
