fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
Georgia Peanuts,Hot Dish,9,3,1569.3,1264.94,1,1
Captain Clairvoyant,Grits,9,3,1454.91,1289.56,2,2
Athens Team Sasquatch,Grits,8,4,1356.28,1326.48,3,3
The G.O.A.T.,Grits,7,5,1306.19,1408.8,6,4
KC Gophers,Hot Dish,6,6,1309.04,1327.73,5,5
Southern Sharks,Hot Dish,5,7,1257.76,1282.67,8,6
Pigskin on  the Gridiron,Grits,5,7,1249.3,1354.6,9,7
Middle Earth Hangry Hobbits,Hot Dish,4,8,1341.14,1364.45,4,8
First Timers The FTs,Hot Dish,4,8,1297,1361.68,7,9
Jumpin' Jaheims,Grits,3,9,1213.48,1373.49,10,10
