away_team,awaypoints,home_team,homepoints
Pigskin on  the Gridiron,107.58,First Timers The FTs,123.22
KC Gophers,95.9,The G.O.A.T.,121.16
Captain Clairvoyant,116.5,Georgia Peanuts,170.96
Athens Team Sasquatch,123.08,Middle Earth Hangry Hobbits,71.84
Southern Sharks,91.22,Jumpin' Jaheims,111.4
