fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
Captain Clairvoyant,Grits,7,2,1054.73,967.26,2,1
Athens Team Sasquatch,Grits,7,2,1000.5,966.32,4,2
Georgia Peanuts,Hot Dish,6,3,1187.02,1021.2,1,3
Southern Sharks,Hot Dish,5,4,998.66,958.43,5,4
The G.O.A.T.,Grits,5,4,989.68,1048.1200000000001,7,5
Pigskin on  the Gridiron,Grits,4,5,958.4200000000001,1000.04,8,6
KC Gophers,Hot Dish,4,5,957.84,1004.31,9,7
First Timers The FTs,Hot Dish,3,6,1008,1072.12,3,8
Middle Earth Hangry Hobbits,Hot Dish,2,7,998.6400000000001,1031.02,6,9
Jumpin' Jaheims,Grits,2,7,926.5799999999999,1011.25,10,10
