away_team,awaypoints,home_team,homepoints
Georgia Peanuts,152.14,KC Gophers,132.09
First Timers The FTs,83.68,Athens Team Sasquatch,88.11
Pigskin on  the Gridiron,108.76,Jumpin' Jaheims,104.1
The G.O.A.T.,105.97,Middle Earth Hangry Hobbits,97.64
Captain Clairvoyant,103.3,Southern Sharks,99.8
