fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
Georgia Peanuts,Hot Dish,10,3,1740.26,1381.44,1,1
Captain Clairvoyant,Grits,9,4,1571.41,1460.52,2,2
Athens Team Sasquatch,Grits,9,4,1479.3600000000001,1398.32,3,3
The G.O.A.T.,Grits,8,5,1427.35,1504.7,4,4
KC Gophers,Hot Dish,6,7,1404.94,1448.89,7,5
First Timers The FTs,Hot Dish,5,8,1420.22,1469.26,5,6
Pigskin on  the Gridiron,Grits,5,8,1356.88,1477.82,8,7
Southern Sharks,Hot Dish,5,8,1348.98,1394.07,9,8
Middle Earth Hangry Hobbits,Hot Dish,4,9,1412.98,1487.53,6,9
Jumpin' Jaheims,Grits,4,9,1324.88,1464.71,10,10
