away_team,awaypoints,home_team,homepoints
Middle Earth Hangry Hobbits,100.9,Georgia Peanuts,107.02
The G.O.A.T.,112.82,Jumpin' Jaheims,91.73
First Timers The FTs,103.4,Southern Sharks,110.19
KC Gophers,100.18,Captain Clairvoyant,102.15
Athens Team Sasquatch,115.24,Pigskin on  the Gridiron,110.94
