away_team,awaypoints,home_team,homepoints
Captain Clairvoyant,175.34,The G.O.A.T.,114.3
Middle Earth Hangry Hobbits,124.62,First Timers The FTs,104.18
Pigskin on  the Gridiron,105.9,Southern Sharks,78.9
Athens Team Sasquatch,128.58,KC Gophers,151.84
Georgia Peanuts,150.34,Jumpin' Jaheims,76.98
