fullname,points
Captain Clairvoyant,71.4
The G.O.A.T.,68.88
Middle Earth Hangry Hobbits,37.38
KC Gophers,86.74
Jumpin' Jaheims,39.7
Georgia Peanuts,84.12
Pigskin on  the Gridiron,38.66
Athens Team Sasquatch,79.66
Southern Sharks,30.560000000000002
First Timers The FTs,28
