fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
Georgia Peanuts,Hot Dish,8,3,1419.16,1187.96,1,1
Captain Clairvoyant,Grits,8,3,1279.57,1175.26,2,2
Athens Team Sasquatch,Grits,8,3,1227.7,1174.64,3,3
The G.O.A.T.,Grits,7,4,1191.8899999999999,1233.46,6,4
Southern Sharks,Hot Dish,5,6,1179.86,1176.77,7,5
KC Gophers,Hot Dish,5,6,1157.2,1199.15,8,6
First Timers The FTs,Hot Dish,4,7,1192.82,1237.06,5,7
Pigskin on  the Gridiron,Grits,4,7,1143.4,1275.9,9,8
Middle Earth Hangry Hobbits,Hot Dish,3,8,1216.52,1261.27,4,9
Jumpin' Jaheims,Grits,3,8,1136.5,1223.15,10,10
