fullname,week,points_scored,result
Georgia Peanuts,8,183.82,W
Captain Clairvoyant,12,175.34,W
First Timers The FTs,2,171.28,W
Georgia Peanuts,13,170.96,W
Captain Clairvoyant,14,164.1,W
