fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
Captain Clairvoyant,Grits,8,2,1185.23,1056.2,2,1
Athens Team Sasquatch,Grits,8,2,1118.06,1057.78,3,2
Georgia Peanuts,Hot Dish,7,3,1273.8,1091.92,1,3
The G.O.A.T.,Grits,6,4,1075.03,1123.82,7,4
KC Gophers,Hot Dish,5,5,1077.61,1090.63,6,5
Southern Sharks,Hot Dish,5,5,1069.38,1045.21,8,6
Pigskin on  the Gridiron,Grits,4,6,1047.3600000000001,1130.54,9,7
First Timers The FTs,Hot Dish,3,7,1084.3,1157.47,5,8
Middle Earth Hangry Hobbits,Hot Dish,2,8,1084.96,1150.79,4,9
Jumpin' Jaheims,Grits,2,8,1017.4399999999999,1128.81,10,10
