fullname,week,points_scored,result
First Timers The FTs,2,171.28,W
Captain Clairvoyant,3,150.32,W
Middle Earth Hangry Hobbits,5,142.36,W
First Timers The FTs,4,141.14,W
The G.O.A.T.,1,139.2,W
