RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,ECR VS. ADP
1,1,Jonathan Taylor,IND,RB1,14,0
2,1,Christian McCaffrey,CAR,RB2,13,0
3,1,Austin Ekeler,LAC,RB3,8,0
4,2,Justin Jefferson,MIN,WR1,7,2
5,2,Dalvin Cook,MIN,RB4,7,2
6,2,Cooper Kupp,LAR,WR2,7,-1
7,2,Derrick Henry,TEN,RB5,6,-3
8,2,Najee Harris,PIT,RB6,9,0
9,2,Ja'Marr Chase,CIN,WR3,10,0
10,2,Joe Mixon,CIN,RB7,10,0
11,3,Davante Adams,LV,WR4,6,0
12,3,D'Andre Swift,DET,RB8,6,1
13,3,Stefon Diggs,BUF,WR5,7,-1
14,3,Alvin Kamara,NO,RB9,14,3
15,3,Travis Kelce,KC,TE1,8,-1
16,3,CeeDee Lamb,DAL,WR6,9,2
17,4,Saquon Barkley,NYG,RB10,9,2
18,4,Nick Chubb,CLE,RB11,9,-3
19,4,Aaron Jones,GB,RB12,14,-3
20,4,Javonte Williams,DEN,RB13,9,0
21,4,Leonard Fournette,TB,RB14,11,3
22,4,Deebo Samuel,SF,WR7,9,-1
23,4,Mark Andrews,BAL,TE2,10,2
24,4,Mike Evans,TB,WR8,11,2
25,4,Tyreek Hill,MIA,WR9,11,-2
26,4,Keenan Allen,LAC,WR10,8,2
27,5,A.J. Brown,PHI,WR11,7,2
28,5,James Conner,ARI,RB15,13,2
29,5,Ezekiel Elliott,DAL,RB16,9,-2
30,5,Michael Pittman Jr.,IND,WR12,14,3
31,5,Tee Higgins,CIN,WR13,10,0
32,5,Kyle Pitts,ATL,TE3,14,0
33,5,DJ Moore,CAR,WR14,13,5
34,5,Josh Allen,BUF,QB1,7,-12
35,5,David Montgomery,CHI,RB17,14,0
36,5,Travis Etienne Jr.,JAC,RB18,11,6
37,5,Breece Hall,NYJ,RB19,10,0
38,5,Courtland Sutton,DEN,WR15,9,13
39,5,Mike Williams,LAC,WR16,8,6
40,6,Justin Herbert,LAC,QB2,8,-4
41,6,Terry McLaurin,WAS,WR17,14,0
42,6,Cam Akers,LAR,RB20,7,-3
43,6,Jaylen Waddle,MIA,WR18,11,0
44,6,Brandin Cooks,HOU,WR19,6,14
45,6,Diontae Johnson,PIT,WR20,9,-1
46,6,AJ Dillon,GB,RB21,14,6
47,6,Allen Robinson II,LAR,WR21,7,6
48,6,Josh Jacobs,LV,RB22,6,-2
49,6,Patrick Mahomes II,KC,QB3,8,-15
50,6,DK Metcalf,SEA,WR22,11,0
51,6,Elijah Mitchell,SF,RB23,9,-2
52,6,George Kittle,SF,TE4,9,-12
53,6,Darren Waller,LV,TE5,6,-6
54,6,Lamar Jackson,BAL,QB4,10,-6
55,6,J.K. Dobbins,BAL,RB24,10,4
56,7,Darnell Mooney,CHI,WR23,14,16
57,7,Marquise Brown,ARI,WR24,13,5
58,7,Antonio Gibson,WAS,RB25,14,2
59,7,Kyler Murray,ARI,QB5,13,-3
60,7,Chase Edmonds,MIA,RB26,11,25
61,7,Dalton Schultz,DAL,TE6,9,-4
62,7,Jalen Hurts,PHI,QB6,7,1
63,7,Clyde Edwards-Helaire,KC,RB27,8,1
64,7,JuJu Smith-Schuster,KC,WR25,8,5
65,7,Jerry Jeudy,DEN,WR26,9,-11
66,7,Damien Harris,NE,RB28,10,-1
67,7,Gabriel Davis,BUF,WR27,7,-1
68,7,Miles Sanders,PHI,RB29,7,6
69,7,Amon-Ra St. Brown,DET,WR28,6,-8
70,7,Michael Thomas,NO,WR29,14,0
71,7,Dameon Pierce,HOU,RB30,6,33
72,7,Rashaad Penny,SEA,RB31,11,14
73,7,Elijah Moore,NYJ,WR30,10,10
74,7,Joe Burrow,CIN,QB7,10,-19
75,7,Rashod Bateman,BAL,WR31,10,6
76,7,Kareem Hunt,CLE,RB32,9,8
77,7,Amari Cooper,CLE,WR32,9,-10
78,7,Tony Pollard,DAL,RB33,9,9
79,7,Dallas Goedert,PHI,TE7,7,-4
80,8,T.J. Hockenson,DET,TE8,6,-12
81,8,Tom Brady,TB,QB8,11,-4
82,8,Rhamondre Stevenson,NE,RB34,10,10
83,8,Chris Godwin,TB,WR33,11,-12
84,8,Adam Thielen,MIN,WR34,7,-11
85,8,Russell Wilson,DEN,QB9,9,-9
86,8,Devin Singletary,BUF,RB35,7,-8
87,8,Cordarrelle Patterson,ATL,RB36,14,-7
88,8,Melvin Gordon III,DEN,RB37,9,10
89,8,Dak Prescott,DAL,QB10,9,-10
90,8,DeVonta Smith,PHI,WR35,7,-1
91,8,Allen Lazard,GB,WR36,14,11
92,8,Brandon Aiyuk,SF,WR37,9,3
93,8,Tyler Lockett,SEA,WR38,11,6
94,8,Hunter Renfrow,LV,WR39,6,-12
95,8,Christian Kirk,JAC,WR40,11,8
96,8,Dawson Knox,BUF,TE9,7,-8
97,8,Zach Ertz,ARI,TE10,13,-7
98,8,Ken Walker III,SEA,RB38,11,-4
99,8,Aaron Rodgers,GB,QB11,14,-8
100,8,Drake London,ATL,WR41,14,0
101,9,Robert Woods,TEN,WR42,6,6
102,9,Trey Lance,SF,QB12,9,-1
103,9,Matthew Stafford,LAR,QB13,7,-7
104,9,James Cook,BUF,RB39,7,2
105,9,Pat Freiermuth,PIT,TE11,9,13
106,9,DeAndre Hopkins,ARI,WR43,13,-13
107,9,Chris Olave,NO,WR44,14,2
108,9,Michael Carter,NYJ,RB40,10,3
109,9,Darrell Henderson Jr.,LAR,RB41,7,10
110,9,Cole Kmet,CHI,TE12,14,15
111,9,Kirk Cousins,MIN,QB14,7,4
112,9,Derek Carr,LV,QB15,6,-2
113,9,Nyheim Hines,IND,RB42,14,14
114,9,Kadarius Toney,NYG,WR45,9,0
115,9,James Robinson,JAC,RB43,11,-2
116,9,Russell Gage,TB,WR46,11,10
117,9,Jakobi Meyers,NE,WR47,10,44
118,9,Tyler Boyd,CIN,WR48,10,18
119,9,Kenneth Gainwell,PHI,RB44,7,28
120,9,Skyy Moore,KC,WR49,8,22
121,9,Tyler Allgeier,ATL,RB45,14,33
122,9,Alexander Mattison,MIN,RB46,7,-6
