week,away_id
1,1
1,2
1,12
1,5
1,4
2,12
2,8
2,1
2,6
2,10
3,4
3,3
3,7
3,6
3,10
4,7
4,5
4,4
4,2
4,12
5,10
5,8
5,1
5,2
5,12
6,2
6,5
6,3
6,6
6,8
7,1
7,12
7,4
7,7
7,10
8,3
8,6
8,8
8,2
8,5
9,1
9,3
9,10
9,5
9,7
10,12
10,6
10,4
10,3
10,7
11,4
11,5
11,12
11,3
11,1
12,7
12,2
12,10
12,8
12,1
13,10
13,6
13,7
13,8
13,4
14,8
14,2
14,5
14,3
14,6
