fullname,points
Captain Clairvoyant,74.17999999999999
The G.O.A.T.,57.9
Middle Earth Hangry Hobbits,48.8
KC Gophers,52.64
Jumpin' Jaheims,48.74
Georgia Peanuts,46.06
Pigskin on  the Gridiron,41.44
Athens Team Sasquatch,35.35
Southern Sharks,67.89
The Sophomores TSoph,39.3
