awayteam,awaypoints,hometeam,homepoints,away_result,home_result,week
5,76.07,1,81.28,L,W,1
6,149.28,4,135.76,W,L,1
8,129.56,7,137.26,L,W,1
2,94.6,3,111.92,L,W,1
12,103.92,10,134.36,L,W,1
8,115.56,6,103.42,W,L,2
1,89.62,2,139.36,L,W,2
5,83.03,12,109.58,L,W,2
4,106.8,3,108.6,L,W,2
7,109.74,10,144.32,L,W,2
12,141.78,2,125.98,W,L,3
3,103.24,6,80.6,W,L,3
10,125.52,8,91.59,W,L,3
4,75.74,1,125.84,L,W,3
7,120.68,5,91.72,W,L,3
10,104.56,3,158.62,L,W,4
2,120.5,4,121.88,L,W,4
12,94.32,7,53.66,W,L,4
6,96.02,1,103.68,L,W,4
8,122.87,5,149.52,L,W,4
7,147.34,4,114.02,W,L,5
1,158.97,3,132.16,W,L,5
5,98.48,10,107.18,L,W,5
6,91.78,2,125.1,L,W,5
8,149.8,12,111.68,W,L,5
6,105.78,5,80.4,W,L,6
2,121.74,8,142.92,L,W,6
3,131.1,12,110.57,W,L,6
4,128.6,10,95.38,W,L,6
1,100.05,7,124.38,L,W,6
5,80.38,2,111.76,L,W,7
8,126.93,3,117.76,W,L,7
12,100.7,4,144.54,L,W,7
10,120.04,1,108.89,W,L,7
7,118.24,6,87.44,W,L,7
3,125.96,5,80.32,W,L,8
4,90.82,8,121.36,L,W,8
1,102.62,12,78.9,W,L,8
6,81.2,10,110.56,L,W,8
2,102.45,7,92.6,W,L,8
5,76.4,4,69.88,W,L,9
3,114.64,1,113.29,W,L,9
7,125.9,8,72.71,W,L,9
2,96.89,6,67.24,W,L,9
10,113.33,12,123.08,L,W,9
8,132.49,1,84.05,W,L,10
4,126.72,6,66.74,W,L,10
12,57,5,118.04,L,W,10
3,81.44,2,73.72,W,L,10
10,101.04,7,109.4,L,W,10
12,106.72,6,75.6,W,L,11
2,85.98,1,147.63,L,W,11
8,81.21,10,78.92,W,L,11
3,152.5,4,135.68,W,L,11
5,101.04,7,136.38,L,W,11
10,123.88,2,91.35,W,L,12
6,92.1,3,105.38,L,W,12
7,101.74,12,107.7,L,W,12
1,84.42,4,70.86,W,L,12
5,96.3,8,128.6,L,W,12
7,117.12,3,85.46,W,L,13
4,121.5,2,155.27,L,W,13
10,130,5,71.12,W,L,13
1,102.48,6,78.16,W,L,13
12,134.56,8,106.05,W,L,13
1,161.7,5,81.74,W,L,14
6,57.82,8,124.72,L,W,14
2,115.28,12,153.5,L,W,14
3,95.64,10,140.62,L,W,14
4,111.34,7,105.02,W,L,14
5,82.78,6,64.6,W,L,15
8,92.65,2,76.21,W,L,15
12,63.06,3,119.02,L,W,15
10,101.08,4,85.34,W,L,15
7,112.86,1,114.89,L,W,15
1,132.94,3,96.78,W,L,16
10,91.74,8,118.26,L,W,16
12,63.7,7,105.18,L,W,16
4,121.96,2,75.68,W,L,16
6,48.42,5,65.7,L,W,16
1,157.48,8,76.75,W,L,17
10,84.34,3,79.12,W,L,17
4,127.86,7,107.48,W,L,17
5,92.74,12,129.78,L,W,17
6,59.66,2,110.11,L,W,17
