add_date,name,points,slot,bench,teamId1,abbrev,teamId,location,nickname,owners,fullname,division,stay
2021-11-10,Titans D/ST,5,16,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-11-11,Chris Carson,0,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,5
2021-11-11,Elijah Moore,11.9,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,5
2021-11-11,Jamison Crowder,3.5,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,5
2021-11-10,Daniel Carlson,2,17,0,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish,6
2021-11-10,Broncos D/ST,2,16,0,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish,6
2021-11-11,Devonta Freeman,7.300000000000001,20,1,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish,5
2021-11-13,Mark Ingram II,18.8,20,1,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish,3
2021-11-10,Chris Boswell,12,17,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,6
2021-11-14,Panthers D/ST,14,16,0,5,GOAt,5,The,G.O.A.T.,NA,The G.O.A.T.,Grits,2
2021-11-12,Baker Mayfield,4.92,20,1,6,HOWE,6,KC,Gophers,NA,KC Gophers,Hot Dish,4
2021-11-12,Zach Ertz,6.6000000000000005,20,1,6,HOWE,6,KC,Gophers,NA,KC Gophers,Hot Dish,4
2021-11-10,Jordan Howard,8.3,20,1,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits,6
2021-11-11,Deonte Harris,14.200000000000001,23,1,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits,5
2021-11-14,T.Y. Hilton,1,20,1,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits,2
2021-11-14,Mac Jones,19.92,20,1,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits,2
2021-11-10,D'Ernest Johnson,19.200000000000003,2,0,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,6
2021-11-10,Jamal Agnew,20.450000000000003,23,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,6
2021-11-10,Matt Ryan,0.6799999999999997,20,1,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits,6
2021-11-11,J.D. McKissic,5.9,20,1,10,JAH,12,Jumpin',Jaheims,NA,Jumpin' Jaheims,Grits,5
2021-11-11,Rams D/ST,1,20,1,10,JAH,12,Jumpin',Jaheims,NA,Jumpin' Jaheims,Grits,5
2021-11-11,Rob Gronkowski,0,20,1,10,JAH,12,Jumpin',Jaheims,NA,Jumpin' Jaheims,Grits,5
