fullname,points
Captain Clairvoyant,30.75
The G.O.A.T.,58.040000000000006
Middle Earth Hangry Hobbits,73.86
KC Gophers,83.09
Jumpin' Jaheims,31.900000000000002
Georgia Peanuts,75.88
Pigskin on  the Gridiron,45.75
Athens Team Sasquatch,77.56
Southern Sharks,49.32
First Timers The FTs,86.16
