away_team,awaypoints,home_team,homepoints
The G.O.A.T.,82.78,KC Gophers,64.6
Athens Team Sasquatch,92.65,Middle Earth Hangry Hobbits,76.21
Jumpin' Jaheims,63.06,The Sophomores TSoph,119.02
Pigskin on  the Gridiron,101.08,Southern Sharks,85.34
Captain Clairvoyant,112.86,Georgia Peanuts,114.89
