fullname,points
Captain Clairvoyant,91.03
The G.O.A.T.,59.57
Middle Earth Hangry Hobbits,32.1
KC Gophers,95.24
Jumpin' Jaheims,84.77000000000001
Georgia Peanuts,63.22
Pigskin on  the Gridiron,71.4
Athens Team Sasquatch,67.28
Southern Sharks,23.14
First Timers The FTs,65.11
