fullname,points
Captain Clairvoyant,34.050000000000004
The G.O.A.T.,47.86
Middle Earth Hangry Hobbits,65.86
KC Gophers,55.580000000000005
Jumpin' Jaheims,38.72
Georgia Peanuts,80.28
Pigskin on  the Gridiron,98.5
Athens Team Sasquatch,59.7
Southern Sharks,40.97
The Sophomores TSoph,47.22
