fullname,points
Captain Clairvoyant,114.5
The G.O.A.T.,72.66
Middle Earth Hangry Hobbits,67.52000000000001
KC Gophers,62.95
Jumpin' Jaheims,53.6
Georgia Peanuts,92.60000000000001
Pigskin on  the Gridiron,53.980000000000004
Athens Team Sasquatch,93.80000000000001
Southern Sharks,55.14
First Timers The FTs,77.60000000000001
