away_team,awaypoints,home_team,homepoints
Georgia Peanuts,163.68,The G.O.A.T.,105.3
Jumpin' Jaheims,111.03,First Timers The FTs,60.1
Southern Sharks,125.26,KC Gophers,89.42
Captain Clairvoyant,98.12,Athens Team Sasquatch,115.52
Pigskin on  the Gridiron,131.56,Middle Earth Hangry Hobbits,124.36
