fullname,points
Captain Clairvoyant,23.35
The G.O.A.T.,47.239999999999995
Middle Earth Hangry Hobbits,53.510000000000005
KC Gophers,24.5
Jumpin' Jaheims,46.92
Georgia Peanuts,39.2
Pigskin on  the Gridiron,19.900000000000002
Athens Team Sasquatch,36.1
Southern Sharks,97.53
The Sophomores TSoph,38.1
