away_team,awaypoints,home_team,homepoints
Southern Sharks,110.48,Middle Earth Hangry Hobbits,131.56
The G.O.A.T.,116.86,Athens Team Sasquatch,109.64
Jumpin' Jaheims,119.06,Captain Clairvoyant,94.34
First Timers The FTs,108.52,KC Gophers,79.59
Georgia Peanuts,145.36,Pigskin on  the Gridiron,96.04
