fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
Athens Team Sasquatch,Grits,11,5,1857.28,1703.22,1,1
The Sophomores TSoph,Hot Dish,11,5,1840.22,1731.88,2,2
Georgia Peanuts,Hot Dish,11,5,1812.35,1616.18,5,3
Pigskin on  the Gridiron,Grits,10,6,1822.53,1656.44,3,4
Captain Clairvoyant,Grits,10,6,1817.5,1621.76,4,5
Jumpin' Jaheims,Grits,8,8,1660.77,1779.33,8,6
Southern Sharks,Hot Dish,6,10,1761.44,1786.1100000000001,6,7
Middle Earth Hangry Hobbits,Hot Dish,6,10,1711.8700000000001,1782.68,7,8
The G.O.A.T.,Grits,5,11,1433.04,1681.67,9,9
KC Gophers,Hot Dish,2,14,1346.2,1703.93,10,10
