fullname,points
Captain Clairvoyant,63.09
The G.O.A.T.,70.78
Middle Earth Hangry Hobbits,109.52
KC Gophers,79.80000000000001
Jumpin' Jaheims,84.56
Georgia Peanuts,68.78
Pigskin on  the Gridiron,82.24
Athens Team Sasquatch,87.41000000000001
Southern Sharks,98.92
The Sophomores TSoph,109.4
