away_team,awaypoints,home_team,homepoints
The G.O.A.T.,111.94,Georgia Peanuts,130.36
Athens Team Sasquatch,131.52,Captain Clairvoyant,97.12
First Timers The FTs,88.26,KC Gophers,85.72
Southern Sharks,96.24,Pigskin on  the Gridiron,102.6
Middle Earth Hangry Hobbits,93.72,Jumpin' Jaheims,106.66
