fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
The Sophomores TSoph,Hot Dish,10,2,1443.32,1278.1399999999999,1,1
Athens Team Sasquatch,Grits,8,4,1415.6,1342.89,2,2
Captain Clairvoyant,Grits,8,4,1377.32,1246.37,3,3
Pigskin on  the Gridiron,Grits,7,5,1359.09,1286.08,4,4
Georgia Peanuts,Hot Dish,7,5,1300.34,1246.64,6,5
Jumpin' Jaheims,Grits,6,6,1245.95,1333.8,8,6
Middle Earth Hangry Hobbits,Hot Dish,5,7,1289.43,1293.07,7,7
Southern Sharks,Hot Dish,4,8,1321.3,1349.06,5,8
The G.O.A.T.,Grits,3,9,1131.7,1276.95,9,9
KC Gophers,Hot Dish,2,10,1097.2,1328.25,10,10
