week,game,away_team,away_points,home_team,home_points,range
11,1,Jumpin' Jaheims,258.98,KC Gophers,215.18,43.80000000000001
11,2,Middle Earth Hangry Hobbits,272.06,Georgia Peanuts,299.96000000000004,27.900000000000034
11,3,Athens Team Sasquatch,326.56,Pigskin on  the Gridiron,324.93,1.6299999999999955
11,4,The Sophomores TSoph,322.03999999999996,Southern Sharks,287.21999999999997,34.81999999999999
11,5,The G.O.A.T.,274.76,Captain Clairvoyant,327.9,53.139999999999986
