week,game,away_team,away_points,home_team,home_points,range
3,1,Pigskin on  the Gridiron,213.5,Middle Earth Hangry Hobbits,233.96,20.460000000000008
3,2,The Sophomores TSoph,220.51999999999998,KC Gophers,252.7,32.18000000000001
3,3,Jumpin' Jaheims,278.68,Athens Team Sasquatch,245.12,33.56
3,4,Southern Sharks,242.56,Georgia Peanuts,170.9,71.66
3,5,Captain Clairvoyant,247,The G.O.A.T.,159.1,87.9
