fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
Captain Clairvoyant,Grits,5,1,746.87,655.62,2,1
Athens Team Sasquatch,Grits,5,1,701.85,688.58,4,2
The G.O.A.T.,Grits,4,2,719.31,684.04,3,3
First Timers The FTs,Hot Dish,3,3,775.68,689.16,1,4
Georgia Peanuts,Hot Dish,3,3,687.38,695.27,5,5
Southern Sharks,Hot Dish,3,3,677.66,670.69,7,6
KC Gophers,Hot Dish,3,3,630.37,643.35,8,7
Middle Earth Hangry Hobbits,Hot Dish,2,4,680.52,687.05,6,8
Jumpin' Jaheims,Grits,1,5,627.89,736.63,9,9
Pigskin on  the Gridiron,Grits,1,5,615.34,712.48,10,10
