fullname,week,points_scored,result
Georgia Peanuts,8,183.92,W
First Timers The FTs,2,171.28,W
Georgia Peanuts,7,163.68,W
Captain Clairvoyant,3,150.32,W
Middle Earth Hangry Hobbits,5,142.36,W
