away_team,awaypoints,home_team,homepoints
Jumpin' Jaheims,90.86,Athens Team Sasquatch,117.56
KC Gophers,119.77,Middle Earth Hangry Hobbits,86.32
Southern Sharks,70.72,Georgia Peanuts,86.78
First Timers The FTs,75.7,The G.O.A.T.,85.35
Captain Clairvoyant,130.5,Pigskin on  the Gridiron,88.94
