add_date,name,points,slot,bench,rowid,abbrev,teamId,location,nickname,fullname,division,stay
2020-12-16,Baker Mayfield,20.98,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish,6
2020-12-16,Bills D/ST,13,16,0,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish,6
2020-12-16,T.Y. Hilton,9.100000000000001,20,1,8,SASQ,8,Athens,Team Sasquatch,Athens Team Sasquatch,Grits,6
2020-12-16,Cole Beasley,15.200000000000001,20,1,8,SASQ,8,Athens,Team Sasquatch,Athens Team Sasquatch,Grits,6
2020-12-20,Emmanuel Sanders,9.600000000000001,20,1,8,SASQ,8,Athens,Team Sasquatch,Athens Team Sasquatch,Grits,2
2020-12-19,Jeff Wilson Jr.,12,23,1,9,PG,10,Pigskin on,the Gridiron,Pigskin on  the Gridiron,Grits,3
