away_team,awaypoints,home_team,homepoints
First Timers The FTs,88.54,Georgia Peanuts,183.92
KC Gophers,105.76,Jumpin' Jaheims,83.56
Athens Team Sasquatch,95.02,Southern Sharks,95.94
Middle Earth Hangry Hobbits,96.12,Captain Clairvoyant,106.44
The G.O.A.T.,59,Pigskin on  the Gridiron,102.76
