fullname,points
Captain Clairvoyant,97
The G.O.A.T.,83.32
Middle Earth Hangry Hobbits,76.39999999999999
KC Gophers,93.86
Jumpin' Jaheims,37.55
Georgia Peanuts,99.38000000000001
Pigskin on  the Gridiron,44.13
Athens Team Sasquatch,73.76
Southern Sharks,94.9
The Sophomores TSoph,71.54
