away_team,awaypoints,home_team,homepoints
Pigskin on  the Gridiron,104.56,The Sophomores TSoph,158.62
Middle Earth Hangry Hobbits,120.5,Southern Sharks,121.88
Jumpin' Jaheims,94.32,Captain Clairvoyant,53.66
KC Gophers,96.02,Georgia Peanuts,103.68
Athens Team Sasquatch,122.87,The G.O.A.T.,149.52
