add_date,name,points,slot,bench,teamId1,abbrev,teamId,location,nickname,owners,fullname,division,stay
2021-12-19,Ryan Succop,-1,17,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,3
2021-12-19,Tua Tagovailoa,13.74,0,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,3
2021-12-19,Chuba Hubbard,4.6,20,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,3
2021-12-16,Darnell Mooney,9.100000000000001,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,6
2021-12-18,Rhamondre Stevenson,4.5,23,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,4
2021-12-16,David Njoku,4.4,6,0,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits,6
2021-12-16,Chiefs D/ST,0,20,1,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits,6
2021-12-17,Albert Wilson,1.5,23,1,10,JAH,12,Jumpin',Jaheims,NA,Jumpin' Jaheims,Grits,5
