fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
Georgia Peanuts,Hot Dish,11,3,1873.98,1501.66,1,1
Captain Clairvoyant,Grits,10,4,1735.51,1539.54,2,2
Athens Team Sasquatch,Grits,9,5,1599.58,1532.04,3,3
The G.O.A.T.,Grits,9,5,1533.19,1593.94,5,4
KC Gophers,Hot Dish,7,7,1533.72,1541.13,4,5
First Timers The FTs,Hot Dish,5,9,1499.24,1633.36,7,6
Pigskin on  the Gridiron,Grits,5,9,1449.1200000000001,1606.6,8,7
Southern Sharks,Hot Dish,5,9,1438.22,1499.91,9,8
Jumpin' Jaheims,Grits,5,9,1424.2,1558.57,10,9
Middle Earth Hangry Hobbits,Hot Dish,4,10,1506.8400000000001,1586.85,6,10
