fullname,points
Captain Clairvoyant,56.66
The G.O.A.T.,40.83
Middle Earth Hangry Hobbits,63.2
KC Gophers,56.300000000000004
Jumpin' Jaheims,78.32000000000001
Georgia Peanuts,58.7
Pigskin on  the Gridiron,75.54
Athens Team Sasquatch,94.62
Southern Sharks,23.1
The Sophomores TSoph,96.26
