fullname,week,points_scored,result
Georgia Peanuts,5,158.97,W
The Sophomores TSoph,4,158.62,W
The Sophomores TSoph,11,152.5,W
Athens Team Sasquatch,5,149.8,W
The G.O.A.T.,4,149.52,W
