fullname,points
Captain Clairvoyant,77.7
The G.O.A.T.,41.550000000000004
Middle Earth Hangry Hobbits,58.35
KC Gophers,64
Jumpin' Jaheims,71.12
Georgia Peanuts,86.72
Pigskin on  the Gridiron,84.14
Athens Team Sasquatch,80.27000000000001
Southern Sharks,86.8
The Sophomores TSoph,54.6
