add_date,name,points,slot,bench,rowid,abbrev,teamId,location,nickname,fullname,division
2020-09-08,Dalvin Cook,38.2,2,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Davante Adams,28.3,4,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Allen Robinson II,11.6,4,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,James Conner,3,2,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Le'Veon Bell,0.8,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Darren Waller,10.7,6,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Matt Ryan,22.36,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-16,James Robinson,15.9,23,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-30,Tee Higgins,0,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-10-15,Travis Fulgham,0,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-10-15,Younghoe Koo,12,17,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-10-22,Justin Herbert,23.44,0,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-10-28,Justin Jefferson,7.9,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-10-28,Tua Tagovailoa,21.42,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-11-04,Justin Jackson,0,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-11-04,Giants D/ST,9,16,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Michael Thomas,7.6000000000000005,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Austin Ekeler,0,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,George Kittle,0,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,DJ Moore,2.8,4,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Kareem Hunt,0,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Deshaun Watson,24.240000000000002,0,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Keenan Allen,20.8,4,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Antonio Gibson,11,2,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Marquise Brown,5.300000000000001,23,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Phillip Lindsay,2.3000000000000003,2,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Ryan Tannehill,14.620000000000001,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Ravens D/ST,13,16,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Henry Ruggs III,1,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-19,Jonnu Smith,10.2,6,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-10-22,Wil Lutz,8,17,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-10-28,Saints D/ST,16,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Patrick Mahomes,30.880000000000003,0,0,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-08,Aaron Jones,10.4,20,1,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-08,Odell Beckham Jr.,0,20,1,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-08,David Johnson,1.6,2,0,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-08,Tyler Higbee,0,20,1,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-08,Stefon Diggs,16.3,23,1,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-08,49ers D/ST,-3,16,0,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-08,Justin Tucker,7,20,1,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-08,Carson Wentz,0,20,1,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-08,Darrell Henderson Jr.,0,20,1,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-08,Duke Johnson,13.3,20,1,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-20,Adrian Peterson,5.800000000000001,2,0,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-10-25,Mike Williams,10.6,4,0,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-10-25,Daniel Carlson,7,17,0,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-10-27,Adam Thielen,4.800000000000001,4,0,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-11-08,Eric Ebron,9.7,6,0,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-08,Rodrigo Blankenship,5,17,0,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-09-08,Clyde Edwards-Helaire,10.9,2,0,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-09-08,Kenny Golladay,0,20,1,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-09-08,Chris Carson,0,20,1,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-09-08,Zach Ertz,0,21,1,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-09-08,Terry McLaurin,22,4,0,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-09-08,Russell Wilson,22.1,0,0,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-09-08,Tyler Boyd,0,20,1,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-09-08,Hayden Hurst,9.7,6,0,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-09-08,Emmanuel Sanders,11.8,23,1,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-09-30,Myles Gaskin,0,20,1,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-10-11,Cardinals D/ST,2,16,0,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-10-22,Randy Bullock,0,20,1,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-10-30,Giovani Bernard,0,20,1,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-11-04,Damien Harris,7.1000000000000005,20,1,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-11-04,Marvin Jones Jr.,11.8,4,0,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-11-08,J.K. Dobbins,4.5,2,0,4,SHAR,4,Southern,Sharks,Southern Sharks,Hot Dish
2020-09-08,Ezekiel Elliott,7.9,20,1,5,GOAt,5,The,G.O.A.T.,The G.O.A.T.,Grits
2020-09-08,Josh Jacobs,13.3,2,0,5,GOAt,5,The,G.O.A.T.,The G.O.A.T.,Grits
2020-09-08,Chris Godwin,5.6000000000000005,4,0,5,GOAt,5,The,G.O.A.T.,The G.O.A.T.,Grits
2020-09-08,Jonathan Taylor,8.4,23,1,5,GOAt,5,The,G.O.A.T.,The G.O.A.T.,Grits
2020-09-08,Kyler Murray,37.92,0,0,5,GOAt,5,The,G.O.A.T.,The G.O.A.T.,Grits
2020-09-08,Jarvis Landry,0,20,1,5,GOAt,5,The,G.O.A.T.,The G.O.A.T.,Grits
2020-09-08,Will Fuller V,19.5,4,0,5,GOAt,5,The,G.O.A.T.,The G.O.A.T.,Grits
2020-09-08,Jordan Howard,7.9,20,1,5,GOAt,5,The,G.O.A.T.,The G.O.A.T.,Grits
2020-09-08,Brandin Cooks,16.8,20,1,5,GOAt,5,The,G.O.A.T.,The G.O.A.T.,Grits
2020-09-08,Colts D/ST,6,20,1,5,GOAt,5,The,G.O.A.T.,The G.O.A.T.,Grits
