fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
The Sophomores TSoph,Hot Dish,7,2,1104,976.64,1,1
Pigskin on  the Gridiron,Grits,6,3,1055.25,1004.12,3,2
Captain Clairvoyant,Grits,6,3,1029.8,936.5899999999999,5,3
Athens Team Sasquatch,Grits,5,4,1073.3,1083.62,2,4
Middle Earth Hangry Hobbits,Hot Dish,5,4,1038.38,940.12,4,5
Georgia Peanuts,Hot Dish,5,4,984.24,957.31,7,6
Jumpin' Jaheims,Grits,4,5,974.53,1038.42,8,7
Southern Sharks,Hot Dish,3,6,988.04,1045.4,6,8
KC Gophers,Hot Dish,2,7,862.76,989.43,9,9
The G.O.A.T.,Grits,2,7,816.32,954.97,10,10
