fullname,points
Captain Clairvoyant,84.39
The G.O.A.T.,64.71
Middle Earth Hangry Hobbits,74.66000000000001
KC Gophers,87.32000000000001
Jumpin' Jaheims,67.6
Georgia Peanuts,58.22
Pigskin on  the Gridiron,78.98
Athens Team Sasquatch,107.32000000000001
Southern Sharks,69.92
The Sophomores TSoph,87.14
