fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
Pigskin on  the Gridiron,Grits,3,0,404.2,305.25,1,1
The Sophomores TSoph,Hot Dish,3,0,323.76,282,7,2
Captain Clairvoyant,Grits,2,1,367.68,365.6,2,3
Jumpin' Jaheims,Grits,2,1,354.28,343.47,4,4
Georgia Peanuts,Hot Dish,2,1,296.74,291.17,9,5
Middle Earth Hangry Hobbits,Hot Dish,1,2,360.04,342.32,3,6
Athens Team Sasquatch,Grits,1,2,336.71000000000004,366.2,5,7
KC Gophers,Hot Dish,1,2,333.3,354.56,6,8
Southern Sharks,Hot Dish,0,3,318.29999999999995,383.72,8,9
The G.O.A.T.,Grits,0,3,250.82,311.54,10,10
