add_date,name,points,slot,bench,teamId,abbrev,id,location,nickname,owners,fullname,division
2021-09-07,DeVante Parker,10.1,20,1,3,TS,3,The Sophomores,TSoph,NA,The Sophomores TSoph,Hot Dish
2021-09-07,Christian McCaffrey,23.200000000000003,2,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,Stefon Diggs,11.4,4,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,A.J. Brown,12.9,4,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,David Montgomery,18.3,2,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,Amari Cooper,32.4,23,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,Jalen Hurts,28.759999999999998,0,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,Rodrigo Blankenship,4,17,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,Courtland Sutton,1.9000000000000001,20,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,Ja'Marr Chase,19.400000000000002,20,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,Robert Tonyan,1.8,6,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,James Conner,5.300000000000001,20,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,Ronald Jones II,-0.5999999999999999,20,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,Antonio Brown,22.200000000000003,20,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,Colts D/ST,3,16,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,Ben Roethlisberger,12.02,20,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,Tony Pollard,6.300000000000001,20,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish
2021-09-07,Saquon Barkley,3.2,2,0,5,GOAt,5,The,G.O.A.T.,NA,The G.O.A.T.,Grits
2021-09-07,Austin Ekeler,11.7,2,0,5,GOAt,5,The,G.O.A.T.,NA,The G.O.A.T.,Grits
2021-09-07,Terry McLaurin,8.2,4,0,5,GOAt,5,The,G.O.A.T.,NA,The G.O.A.T.,Grits
2021-09-07,James Robinson,6.9,23,1,5,GOAt,5,The,G.O.A.T.,NA,The G.O.A.T.,Grits
2021-09-07,Julio Jones,4.4,20,1,5,GOAt,5,The,G.O.A.T.,NA,The G.O.A.T.,Grits
2021-09-07,Dak Prescott,27.42,0,0,5,GOAt,5,The,G.O.A.T.,NA,The G.O.A.T.,Grits
2021-09-07,Brandon Aiyuk,0.35000000000000003,4,0,5,GOAt,5,The,G.O.A.T.,NA,The G.O.A.T.,Grits
2021-09-07,JuJu Smith-Schuster,7.2,20,1,5,GOAt,5,The,G.O.A.T.,NA,The G.O.A.T.,Grits
