fullname,points
Captain Clairvoyant,55.49
The G.O.A.T.,20.5
Middle Earth Hangry Hobbits,70.4
KC Gophers,45.38
Jumpin' Jaheims,48.900000000000006
Georgia Peanuts,15.100000000000001
Pigskin on  the Gridiron,70.92
Athens Team Sasquatch,97.53
Southern Sharks,54.300000000000004
The Sophomores TSoph,72.82000000000001
