fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
KC Gophers,Hot Dish,1,0,149.28,135.76,1,1
Captain Clairvoyant,Grits,1,0,137.26,128.56,2,2
Jumpin' Jaheims,Grits,1,0,134.36,103.92,4,3
The Sophomores TSoph,Hot Dish,1,0,111.92,92.6,6,4
Georgia Peanuts,Hot Dish,1,0,81.28,76.07,9,5
Southern Sharks,Hot Dish,0,1,135.76,149.28,3,6
Athens Team Sasquatch,Grits,0,1,128.56,137.26,5,7
Pigskin on  the Gridiron,Grits,0,1,103.92,134.36,7,8
Middle Earth Hangry Hobbits,Hot Dish,0,1,92.6,111.92,8,9
The G.O.A.T.,Grits,0,1,76.07,81.28,10,10
