add_date,name,points,slot,bench,teamId1,abbrev,teamId,location,nickname,owners,fullname,division,stay
2021-12-23,Greg Joseph,12,17,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,5
2021-12-23,Amon-Ra St. Brown,21.5,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,5
2021-12-23,Chargers D/ST,-5,16,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,5
2021-12-23,Antonio Brown,15.100000000000001,4,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,5
2021-12-24,Byron Pringle,22.5,20,1,3,TS,3,The Sophomores,TSoph,NA,The Sophomores TSoph,Hot Dish,4
2021-12-25,Rex Burkhead,27.9,20,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,3
2021-12-25,Jake Fromm,0.20000000000000018,20,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,3
2021-12-23,Eagles D/ST,18,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,5
2021-12-23,Ronald Jones II,15.1,23,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,5
2021-12-24,A.J. Brown,26,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,4
2021-12-26,Justin Jackson,30.2,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,2
2021-12-24,Matt Prater,2,17,0,10,JAH,12,Jumpin',Jaheims,NA,Jumpin' Jaheims,Grits,4
