fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
The Sophomores TSoph,Hot Dish,10,3,1528.78,1395.26,1,1
Captain Clairvoyant,Grits,9,4,1494.44,1331.83,3,2
Athens Team Sasquatch,Grits,8,5,1521.65,1477.45,2,3
Pigskin on  the Gridiron,Grits,8,5,1489.09,1357.2,4,4
Georgia Peanuts,Hot Dish,8,5,1402.82,1324.8,7,5
Jumpin' Jaheims,Grits,7,6,1380.51,1439.85,8,6
Middle Earth Hangry Hobbits,Hot Dish,6,7,1444.7,1414.57,5,7
Southern Sharks,Hot Dish,4,9,1442.8,1504.33,6,8
The G.O.A.T.,Grits,3,10,1202.82,1406.95,9,9
KC Gophers,Hot Dish,2,11,1175.36,1430.73,10,10
