away_team,awaypoints,home_team,homepoints
Athens Team Sasquatch,115.56,KC Gophers,103.42
Georgia Peanuts,89.62,Middle Earth Hangry Hobbits,139.36
The G.O.A.T.,83.03,Pigskin on  the Gridiron,109.58
Southern Sharks,106.8,The Sophomores TSoph,108.6
Captain Clairvoyant,109.74,Jumpin' Jaheims,144.32
