away_team,awaypoints,home_team,homepoints
Captain Clairvoyant,147.34,Southern Sharks,114.02
Georgia Peanuts,158.97,The Sophomores TSoph,132.16
The G.O.A.T.,98.48,Pigskin on  the Gridiron,107.18
KC Gophers,91.78,Middle Earth Hangry Hobbits,125.1
Athens Team Sasquatch,149.8,Jumpin' Jaheims,111.68
