away_team,awaypoints,home_team,homepoints
The G.O.A.T.,76.4,Southern Sharks,69.88
The Sophomores TSoph,114.64,Georgia Peanuts,113.29
Captain Clairvoyant,125.9,Athens Team Sasquatch,72.71
Middle Earth Hangry Hobbits,96.89,KC Gophers,67.24
Pigskin on  the Gridiron,113.33,Jumpin' Jaheims,123.08
