away_team,awaypoints,home_team,homepoints
The G.O.A.T.,80.34,Middle Earth Hangry Hobbits,111.76
Athens Team Sasquatch,126.93,The Sophomores TSoph,117.76
Jumpin' Jaheims,100.7,Southern Sharks,144.54
Pigskin on  the Gridiron,120.04,Georgia Peanuts,108.89
Captain Clairvoyant,118.24,KC Gophers,87.44
