fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
The Sophomores TSoph,Hot Dish,4,0,482.38,386.56,2,1
Pigskin on  the Gridiron,Grits,3,1,508.76,463.87,1,2
Jumpin' Jaheims,Grits,3,1,449.6,397.03000000000003,5,3
Georgia Peanuts,Hot Dish,3,1,400.42,387.19,9,4
Captain Clairvoyant,Grits,2,2,421.34,459.91999999999996,8,5
Middle Earth Hangry Hobbits,Hot Dish,1,3,480.44,465.2,3,6
Athens Team Sasquatch,Grits,1,3,459.58000000000004,515.72,4,7
Southern Sharks,Hot Dish,1,3,440.17999999999995,504.22,6,8
KC Gophers,Hot Dish,1,3,429.32,458.24,7,9
The G.O.A.T.,Grits,1,3,400.34000000000003,434.41,10,10
