week,game,away_team,away_points,home_team,home_points,range
9,1,The G.O.A.T.,241.1,Southern Sharks,363.96,122.85999999999999
9,2,The Sophomores TSoph,374.82,Georgia Peanuts,311.56,63.25999999999999
9,3,Captain Clairvoyant,335.21999999999997,Athens Team Sasquatch,391.21,55.99000000000001
9,4,Middle Earth Hangry Hobbits,335.95,KC Gophers,274.42,61.52999999999997
9,5,Pigskin on  the Gridiron,323.98,Jumpin' Jaheims,290.17,33.81
