fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
The Sophomores TSoph,Hot Dish,5,2,863.4,783.03,2,1
Pigskin on  the Gridiron,Grits,5,2,831.36,799.84,4,2
Captain Clairvoyant,Grits,5,2,811.3,761.43,6,3
Athens Team Sasquatch,Grits,4,3,879.23,866.9,1,4
Georgia Peanuts,Hot Dish,4,3,768.33,763.77,8,5
Middle Earth Hangry Hobbits,Hot Dish,3,4,839.04,780.24,3,6
Southern Sharks,Hot Dish,3,4,827.3399999999999,847.64,5,7
Jumpin' Jaheims,Grits,3,4,772.55,822.47,7,8
KC Gophers,Hot Dish,2,5,714.3199999999999,781.98,9,9
The G.O.A.T.,Grits,1,6,659.5600000000001,759.13,10,10
